,date,symbol,open,close,low,high,volume
24722,2010-03-19,DVA,31.6849995,31.6849995,31.615,31.924999,1446600.0
25190,2010-03-22,DVA,31.674999,32.095001,31.615,32.2700005,1202400.0
25658,2010-03-23,DVA,32.1800005,31.91,31.6499995,32.1800005,1307600.0
26126,2010-03-24,DVA,31.915001,31.6049995,31.5,31.950001,898600.0
26594,2010-03-25,DVA,31.74,31.4750005,31.455,31.825001,962400.0
27062,2010-03-26,DVA,31.5,31.3099995,31.16,31.5,984600.0
27530,2010-03-29,DVA,31.3999995,31.545,31.385,31.620001,889000.0
27998,2010-03-30,DVA,31.5949995,31.709999,31.4799995,31.745001,746000.0
28466,2010-03-31,DVA,31.424999,31.700001,31.424999,31.799999,1238000.0
28934,2010-04-01,DVA,31.83,31.8199995,31.625,32.0600015,993600.0
29402,2010-04-05,DVA,31.9349995,31.99,31.825001,32.119999,1224800.0
29870,2010-04-06,DVA,31.795,31.9850005,31.795,32.080002,1199800.0
30338,2010-04-07,DVA,32.029999,32.3050005,31.91,32.4350015,1544800.0
30806,2010-04-08,DVA,32.174999,32.2649995,31.955,32.3149985,1080200.0
31274,2010-04-09,DVA,32.2249985,33.029999,32.119999,33.075001,2613400.0
31742,2010-04-12,DVA,32.970001,32.834999,32.75,33.404999,1770400.0
32210,2010-04-13,DVA,32.8600005,33.1150015,32.6450005,33.16,1691400.0
32678,2010-04-14,DVA,33.0600015,32.6049995,32.4850005,33.095001,1982800.0
33146,2010-04-15,DVA,32.595001,32.375,32.200001,32.5999985,1257600.0
33614,2010-04-16,DVA,32.330002,32.25,32.029999,32.5550005,1273000.0
34082,2010-04-19,DVA,32.2299995,32.494999,32.075001,32.700001,1706000.0
34550,2010-04-20,DVA,32.6450005,32.8149985,32.294998,32.825001,1468800.0
35018,2010-04-21,DVA,32.8600005,32.7350005,32.540001,32.8600005,1228000.0
35486,2010-04-22,DVA,32.580002,32.325001,32.095001,32.6500015,1740000.0
35954,2010-04-23,DVA,32.255001,32.419998,32.035,32.4399985,1671400.0
36422,2010-04-26,DVA,32.5099985,32.4300005,32.2299995,32.580002,1049000.0
36890,2010-04-27,DVA,32.2649995,32.1949995,32.154999,32.75,2221600.0
37358,2010-04-28,DVA,30.495001,31.7700005,30.4750005,32.0099985,6453800.0
37827,2010-04-29,DVA,31.9750005,31.9799995,31.7299995,32.005001,2257800.0
38296,2010-04-30,DVA,32.0550005,31.215,31.16,32.080002,2984000.0
38765,2010-05-03,DVA,31.254999,31.6450005,31.254999,31.6499995,2226600.0
39234,2010-05-04,DVA,31.3549995,31.549999,31.0599995,31.625,1848800.0
39703,2010-05-05,DVA,31.51,31.8050005,31.51,31.955,2228000.0
40172,2010-05-06,DVA,31.785,31.290001,30.1450005,31.915001,3181200.0
40641,2010-05-07,DVA,31.0249995,30.575001,30.459999,31.1499995,3070800.0
41110,2010-05-10,DVA,33.255001,32.005001,31.1849995,33.255001,4442000.0
41579,2010-05-11,DVA,31.6949995,31.83,31.615,31.9300005,1869800.0
42048,2010-05-12,DVA,31.950001,31.8500005,31.745001,32.029999,1734000.0
42517,2010-05-13,DVA,31.8549995,31.7700005,31.629999,32.0200005,1045000.0
42986,2010-05-14,DVA,31.6949995,31.5249995,31.25,31.6949995,1344400.0
43455,2010-05-17,DVA,31.6450005,31.865,31.370001,31.965,1557200.0
43924,2010-05-18,DVA,32.080002,31.7299995,31.67,32.375,1520600.0
44393,2010-05-19,DVA,31.715,31.8500005,31.6000005,31.965,1873000.0
44862,2010-05-20,DVA,31.370001,30.665001,30.620001,31.5149995,2469600.0
45331,2010-05-21,DVA,29.8999995,30.6399995,29.674999,30.66,3342400.0
45800,2010-05-24,DVA,30.3999995,30.215,30.1800005,30.5599995,4141000.0
46269,2010-05-25,DVA,29.6900005,30.4449995,29.4750005,30.4449995,3642600.0
46738,2010-05-26,DVA,30.6499995,30.2800005,30.2700005,30.76,1927600.0
47207,2010-05-27,DVA,30.6949995,31.584999,30.6949995,31.6100005,3069800.0
47676,2010-05-28,DVA,31.5200005,31.715,31.450001,31.8500005,3763400.0
48145,2010-06-01,DVA,31.3999995,31.5,31.334999,32.0699995,3508600.0
48614,2010-06-02,DVA,31.66,32.3899995,31.535,32.41,4009000.0
49083,2010-06-03,DVA,32.4799995,32.6899985,32.424999,32.825001,3628200.0
49552,2010-06-04,DVA,32.294998,31.4799995,31.3999995,32.3549995,2599600.0
50021,2010-06-07,DVA,31.549999,31.3199995,31.295,31.91,2305800.0
50490,2010-06-08,DVA,31.375,31.34,31.0699995,31.92,2878800.0
50959,2010-06-09,DVA,31.495001,31.165001,31.0699995,31.635,2274800.0
51428,2010-06-10,DVA,31.5550005,31.9300005,31.455,31.9799995,1534800.0
51897,2010-06-11,DVA,31.8449995,32.3600005,31.745001,32.3600005,1773400.0
52366,2010-06-14,DVA,32.494999,32.595001,32.4350015,32.7750015,1886200.0
52835,2010-06-15,DVA,32.665001,32.799999,32.619999,32.869999,2069600.0
53304,2010-06-16,DVA,32.549999,32.904999,32.419998,32.919998,2391200.0
53773,2010-06-17,DVA,32.9399985,33.290001,32.794998,33.3050005,1727200.0
54242,2010-06-18,DVA,33.25,33.3149985,33.25,33.5250015,2699000.0
54711,2010-06-21,DVA,33.3899995,32.459999,32.3050005,33.4799995,2163200.0
55180,2010-06-22,DVA,32.459999,31.8050005,31.7250005,32.5149995,1315000.0
55649,2010-06-23,DVA,31.6499995,31.620001,31.25,31.7649995,1542400.0
56118,2010-06-24,DVA,31.4799995,31.375,31.3050005,31.6499995,1283000.0
56587,2010-06-25,DVA,31.42,31.66,31.200001,31.870001,2309800.0
57056,2010-06-28,DVA,31.795,31.865,31.385,32.0099985,1185000.0
57525,2010-06-29,DVA,31.59,31.365,31.25,31.7250005,1722000.0
57994,2010-06-30,DVA,31.365,31.2199995,31.17,31.7199995,2106400.0
58463,2010-07-01,DVA,31.2649995,30.8600005,30.334999,31.2749995,2075400.0
58932,2010-07-02,DVA,30.885,30.549999,30.3449995,30.8999995,1589800.0
59401,2010-07-06,DVA,30.8950005,30.1949995,29.8500005,30.8950005,6207400.0
59870,2010-07-07,DVA,30.2199995,30.379999,29.9750005,30.385,3085600.0
60339,2010-07-08,DVA,30.495001,29.9850005,29.834999,30.700001,3629400.0
60808,2010-07-09,DVA,30.01,30.0650005,29.8449995,30.1499995,2002400.0
61277,2010-07-12,DVA,30.004999,30.25,30.0,30.3199995,1272000.0
61746,2010-07-13,DVA,30.415001,30.76,30.26,30.8899995,2485200.0
62215,2010-07-14,DVA,30.6450005,30.665001,30.4400005,30.9850005,1793200.0
62684,2010-07-15,DVA,30.709999,30.615,30.4050005,31.0300005,2759200.0
63153,2010-07-16,DVA,30.41,30.0,29.950001,30.59,2019400.0
63622,2010-07-19,DVA,30.135,29.8999995,29.790001,30.25,1306400.0
64091,2010-07-20,DVA,29.575001,30.0249995,29.5249995,30.0249995,1435000.0
64560,2010-07-21,DVA,30.0949995,29.1949995,29.040001,30.0949995,2580200.0
65029,2010-07-22,DVA,29.455,29.004999,28.879999,29.6499995,2987000.0
65498,2010-07-23,DVA,28.9799995,28.415001,28.290001,29.0300005,5729000.0
65967,2010-07-26,DVA,28.635,30.4300005,28.5,30.545,4422400.0
66436,2010-07-27,DVA,30.58,30.26,30.1399995,31.4300005,5370800.0
66905,2010-07-28,DVA,30.205,29.635,29.450001,30.3099995,3331800.0
67374,2010-07-29,DVA,29.754999,29.2700005,29.2649995,30.0699995,2229200.0
67843,2010-07-30,DVA,28.9850005,28.66,28.625,29.115,5186800.0
68312,2010-08-02,DVA,29.1000005,28.9449995,28.67,29.385,3078200.0
68781,2010-08-03,DVA,29.2299995,30.549999,29.2299995,31.2199995,7352200.0
69250,2010-08-04,DVA,30.665001,30.8050005,30.3999995,30.92,2297000.0
69719,2010-08-05,DVA,30.6499995,31.5949995,30.6499995,31.965,3276200.0
70188,2010-08-06,DVA,31.3999995,31.8099995,31.2700005,31.875,2025400.0
70657,2010-08-09,DVA,31.84,31.8050005,31.6049995,32.040001,1645800.0
71126,2010-08-10,DVA,31.3899995,31.825001,31.3899995,31.9699995,1799400.0
71595,2010-08-11,DVA,31.4400005,31.5249995,31.2749995,31.620001,2469000.0
72064,2010-08-12,DVA,31.1949995,31.8950005,31.1049995,31.959999,1636800.0
72533,2010-08-13,DVA,31.8500005,32.040001,31.790001,32.1399995,1305800.0
73002,2010-08-16,DVA,31.84,32.1500015,31.754999,32.25,1355800.0
73471,2010-08-17,DVA,32.2249985,32.380001,32.2249985,32.5649985,1610400.0
73940,2010-08-18,DVA,32.3149985,32.3149985,32.1949995,32.450001,1408600.0
74409,2010-08-19,DVA,32.330002,31.834999,31.6000005,32.334999,1418400.0
74878,2010-08-20,DVA,31.615,31.91,31.5599995,31.9850005,1027000.0
75347,2010-08-23,DVA,32.0550005,32.075001,31.9750005,32.299999,981400.0
75816,2010-08-24,DVA,31.924999,32.0999985,31.825001,32.255001,2494800.0
76285,2010-08-25,DVA,31.965,32.380001,31.9349995,32.625,2140800.0
76754,2010-08-26,DVA,32.505001,32.049999,31.870001,32.505001,1708000.0
77223,2010-08-27,DVA,32.1450005,32.720001,32.095001,32.7700005,1860000.0
77692,2010-08-30,DVA,32.669998,32.619999,32.6049995,32.9000015,1590600.0
78161,2010-08-31,DVA,32.5,32.3100015,32.130001,32.5250015,2495800.0
